20
9507013806,La transposicion didactica - del saber sabio al saber enseñado,Chevallard,Aique. buenos Aires,2013,4,[educacion],156,8171,858.94
978-8441539907,Arquitectura limpia: Guia para especialistas en la estructura y el diseño de software,Robert Martin,ANAYA MULTIMEDIA,2018,4,[educacion|computacion],1375,8855,952.93
978-1942788003,The DevOps Handbook: How to Create World-Class Agility. Reliability. and Security in Technology Orga,Gene kim,IT Revolution Press,2016,5,[educacion|tecnologia],1159,6066,807.79
8441532109,Codigo limpio,Robert Martin,ANAYA MULTIMEDIA,2012,4,[educacion|computacion],1445,7695,297.47
9780134757599,Refactoring,Martin Fowler,PRENTICE-HALL INTERNATIONAL EDITION,2018,4,[educacion|computacion],536,6075,303.42
978-84-9044-349-1,Renovar el asombro. Un panorama de la poesia infantil y juvenil contemporanea en español,Adolfo Cordova,Universidad de Castilla La Mancha,2019,1,[educacion],809,6430,506.67
370-26-0521-1,Las aventuras de Tom Sawyer,Mark Twain,Santillana,2010,4,[novela|aventuras],450,11200,600.00
978950644417-4,La Nueva Educacion,Cesar Bona,PEGUIN RANDOM HOUSE GRUPO S.A,2017,2,[educacion],397,5608,606.82
978-1-315-16666-7,Remote Sensing Applications in Environmental and Earth System Sciences,Nicolas R. Dalezios,CRC Press,2021,2,[educacion],497,5827,995.15
978-607-15-0741-9,Finanzas corporativas,Ross. Stephen,McGraw-Hill,2012,2,[educacion|economia],1258,8301,268.69
970-26-0511-3,Fisica universitaria. Vol 1,Sears Francis,Pearson educación,2004,3,[educacion],1641,6783,144.33
975-1-315-13727-7,El ritual de los Musgrave y otros relatos,Conan Doyle,Santillana,2010,3,[novela|policial|misterio],400,4500,500.00
978-607-15-0553-8,Farmacologia para Enfermeras,Rodrígez Palomares,McGraw Hill,2011,4,[educacion|farmacia],1067,1377,681.15
978-84-9110,Farmacologia en Enfermeria. Teoria y Casos Clinicos,Somoza Beatriz,Editorial Medica Panamericana,2020,1,[educacion|farmacia],721,1726,751.32
9786074488562,Manual de Publicaciones de la American Psychological Association,american psychological association,Manual Moderno,2021,3,[educacion|psicologia],1888,1075,420.75
9780128152775,The Science of Animal Growth and Meat Technology,Steve Lonergan,Academic Press,2018,2,[educacion|veterinaria],1205,9601,969.33
978-0134602691,Beef Production and Management Decisions (What's New in Trades & Technology),Thomas Field,Pearson,2017,3,[educacion|veterinaria],110,7374,822.35
9786071514387,Micologia medica basica,Alexandro Bonifaz,McGraw-Hill,2020,4,[educacion|medicina],1121,5139,216.85
97801346027,Beef Production and management Decisions,Thomas G. Field,Pearson,2018,2,[educacion|veterinaria],1764,1358,503.86
978-84-277-1437-3,Cerebro y Aprendizaje. Competencias e implicaciones educativas,Jensen Eric,Narcea,2010,5,[educacion],1637,1153,302.71
